/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset computers train_idx: 2007, val_idx: 669, test_idx: 10705
Debug: Dataset computers train_idx: 10, val_idx: 10, test_idx: 10
Dataset: computers | #Nodes: 13381 | #Edges: 491556 | #Classes: 10 |#Features: 767
Epoch 00020 | Loss(train) 1.7800 | Acc(train) 0.3936 | Acc(val) 0.3662 |
Epoch 00021 | Loss(train) 1.7582 | Acc(train) 0.3946 | Acc(val) 0.3707 |
Epoch 00022 | Loss(train) 1.7404 | Acc(train) 0.3857 | Acc(val) 0.3632 |
Epoch 00023 | Loss(train) 1.7360 | Acc(train) 0.3857 | Acc(val) 0.3572 |
Epoch 00024 | Loss(train) 1.7195 | Acc(train) 0.3896 | Acc(val) 0.3602 |
Epoch 00025 | Loss(train) 1.6991 | Acc(train) 0.3991 | Acc(val) 0.3767 |
Epoch 00026 | Loss(train) 1.6856 | Acc(train) 0.3857 | Acc(val) 0.3871 |*
Epoch 00027 | Loss(train) 1.6707 | Acc(train) 0.4061 | Acc(val) 0.3961 |*
Epoch 00028 | Loss(train) 1.6540 | Acc(train) 0.4031 | Acc(val) 0.3931 |
Epoch 00029 | Loss(train) 1.6558 | Acc(train) 0.4036 | Acc(val) 0.4036 |*
Epoch 00030 | Loss(train) 1.6462 | Acc(train) 0.4006 | Acc(val) 0.4215 |*
Epoch 00031 | Loss(train) 1.6367 | Acc(train) 0.3981 | Acc(val) 0.4619 |*
Epoch 00032 | Loss(train) 1.6110 | Acc(train) 0.4016 | Acc(val) 0.4783 |*
Epoch 00033 | Loss(train) 1.6114 | Acc(train) 0.4111 | Acc(val) 0.4738 |
Epoch 00034 | Loss(train) 1.5886 | Acc(train) 0.4111 | Acc(val) 0.4679 |
Epoch 00035 | Loss(train) 1.5803 | Acc(train) 0.4076 | Acc(val) 0.4813 |*
Epoch 00036 | Loss(train) 1.5940 | Acc(train) 0.4031 | Acc(val) 0.4858 |*
Epoch 00037 | Loss(train) 1.5756 | Acc(train) 0.4136 | Acc(val) 0.4948 |*
Epoch 00038 | Loss(train) 1.5474 | Acc(train) 0.4240 | Acc(val) 0.5052 |*
Epoch 00039 | Loss(train) 1.5617 | Acc(train) 0.4225 | Acc(val) 0.4948 |
Epoch 00040 | Loss(train) 1.5521 | Acc(train) 0.4106 | Acc(val) 0.5022 |
Epoch 00041 | Loss(train) 1.5423 | Acc(train) 0.4245 | Acc(val) 0.4993 |
Epoch 00042 | Loss(train) 1.5367 | Acc(train) 0.4240 | Acc(val) 0.5052 |
Epoch 00043 | Loss(train) 1.5237 | Acc(train) 0.4210 | Acc(val) 0.5291 |*
Epoch 00044 | Loss(train) 1.5062 | Acc(train) 0.4370 | Acc(val) 0.5022 |
Epoch 00045 | Loss(train) 1.5109 | Acc(train) 0.4380 | Acc(val) 0.5157 |
Epoch 00046 | Loss(train) 1.4898 | Acc(train) 0.4449 | Acc(val) 0.5127 |
Epoch 00047 | Loss(train) 1.4906 | Acc(train) 0.4509 | Acc(val) 0.5217 |
Epoch 00048 | Loss(train) 1.4826 | Acc(train) 0.4649 | Acc(val) 0.5665 |*
Epoch 00049 | Loss(train) 1.4714 | Acc(train) 0.4684 | Acc(val) 0.5561 |
Epoch 00050 | Loss(train) 1.4701 | Acc(train) 0.4644 | Acc(val) 0.5441 |
Epoch 00051 | Loss(train) 1.4593 | Acc(train) 0.4654 | Acc(val) 0.5381 |
Epoch 00052 | Loss(train) 1.4395 | Acc(train) 0.4788 | Acc(val) 0.5605 |
Epoch 00053 | Loss(train) 1.4254 | Acc(train) 0.4938 | Acc(val) 0.5725 |*
Epoch 00054 | Loss(train) 1.4153 | Acc(train) 0.5057 | Acc(val) 0.5874 |*
Epoch 00055 | Loss(train) 1.4117 | Acc(train) 0.4958 | Acc(val) 0.6009 |*
Epoch 00056 | Loss(train) 1.3871 | Acc(train) 0.5172 | Acc(val) 0.6368 |*
Epoch 00057 | Loss(train) 1.3887 | Acc(train) 0.5232 | Acc(val) 0.6188 |
Epoch 00058 | Loss(train) 1.3718 | Acc(train) 0.5207 | Acc(val) 0.6233 |
Epoch 00059 | Loss(train) 1.3705 | Acc(train) 0.5237 | Acc(val) 0.6413 |*
Epoch 00060 | Loss(train) 1.3478 | Acc(train) 0.5471 | Acc(val) 0.6114 |
Epoch 00061 | Loss(train) 1.3605 | Acc(train) 0.5232 | Acc(val) 0.6323 |
Epoch 00062 | Loss(train) 1.3294 | Acc(train) 0.5401 | Acc(val) 0.6562 |*
Epoch 00063 | Loss(train) 1.3349 | Acc(train) 0.5496 | Acc(val) 0.6577 |*
Epoch 00064 | Loss(train) 1.3163 | Acc(train) 0.5595 | Acc(val) 0.6532 |
Epoch 00065 | Loss(train) 1.3040 | Acc(train) 0.5346 | Acc(val) 0.6652 |*
Epoch 00066 | Loss(train) 1.3073 | Acc(train) 0.5491 | Acc(val) 0.6637 |
Epoch 00067 | Loss(train) 1.2641 | Acc(train) 0.5690 | Acc(val) 0.6532 |
Epoch 00068 | Loss(train) 1.2689 | Acc(train) 0.5556 | Acc(val) 0.6637 |
Epoch 00069 | Loss(train) 1.2663 | Acc(train) 0.5536 | Acc(val) 0.6726 |*
Epoch 00070 | Loss(train) 1.2450 | Acc(train) 0.5655 | Acc(val) 0.6786 |*
Epoch 00071 | Loss(train) 1.2555 | Acc(train) 0.5615 | Acc(val) 0.6756 |
Epoch 00072 | Loss(train) 1.2527 | Acc(train) 0.5630 | Acc(val) 0.6547 |
Epoch 00073 | Loss(train) 1.2458 | Acc(train) 0.5665 | Acc(val) 0.6637 |
Epoch 00074 | Loss(train) 1.2598 | Acc(train) 0.5775 | Acc(val) 0.6846 |*
Epoch 00075 | Loss(train) 1.2116 | Acc(train) 0.5695 | Acc(val) 0.6831 |
Epoch 00076 | Loss(train) 1.2277 | Acc(train) 0.5735 | Acc(val) 0.6831 |
Epoch 00077 | Loss(train) 1.2064 | Acc(train) 0.5825 | Acc(val) 0.6697 |
Epoch 00078 | Loss(train) 1.2278 | Acc(train) 0.5740 | Acc(val) 0.6801 |
Epoch 00079 | Loss(train) 1.2088 | Acc(train) 0.5715 | Acc(val) 0.6876 |*
Epoch 00080 | Loss(train) 1.2052 | Acc(train) 0.5810 | Acc(val) 0.6831 |
Epoch 00081 | Loss(train) 1.2061 | Acc(train) 0.5815 | Acc(val) 0.6756 |
Epoch 00082 | Loss(train) 1.1835 | Acc(train) 0.5939 | Acc(val) 0.6936 |*
Epoch 00083 | Loss(train) 1.1831 | Acc(train) 0.5790 | Acc(val) 0.6816 |
Epoch 00084 | Loss(train) 1.1755 | Acc(train) 0.5859 | Acc(val) 0.6726 |
Epoch 00085 | Loss(train) 1.1801 | Acc(train) 0.5820 | Acc(val) 0.6831 |
Epoch 00086 | Loss(train) 1.1597 | Acc(train) 0.5979 | Acc(val) 0.6816 |
Epoch 00087 | Loss(train) 1.1688 | Acc(train) 0.5884 | Acc(val) 0.6951 |*
Epoch 00088 | Loss(train) 1.1658 | Acc(train) 0.6014 | Acc(val) 0.6831 |
Epoch 00089 | Loss(train) 1.1631 | Acc(train) 0.5984 | Acc(val) 0.6891 |
Epoch 00090 | Loss(train) 1.1507 | Acc(train) 0.6114 | Acc(val) 0.6966 |*
Epoch 00091 | Loss(train) 1.3087 | Acc(train) 0.5675 | Acc(val) 0.6637 |
Epoch 00092 | Loss(train) 1.1742 | Acc(train) 0.5944 | Acc(val) 0.6726 |
Epoch 00093 | Loss(train) 1.1585 | Acc(train) 0.5999 | Acc(val) 0.6876 |
Epoch 00094 | Loss(train) 1.1413 | Acc(train) 0.5984 | Acc(val) 0.7040 |*
Epoch 00095 | Loss(train) 1.1344 | Acc(train) 0.6039 | Acc(val) 0.7040 |
Epoch 00096 | Loss(train) 1.1443 | Acc(train) 0.5924 | Acc(val) 0.6801 |
Epoch 00097 | Loss(train) 1.1108 | Acc(train) 0.6099 | Acc(val) 0.6726 |
Epoch 00098 | Loss(train) 1.1259 | Acc(train) 0.6099 | Acc(val) 0.6816 |
Epoch 00099 | Loss(train) 1.1120 | Acc(train) 0.6069 | Acc(val) 0.6966 |
Epoch 00100 | Loss(train) 1.1383 | Acc(train) 0.6173 | Acc(val) 0.6996 |
Epoch 00101 | Loss(train) 1.1345 | Acc(train) 0.6158 | Acc(val) 0.6936 |
Epoch 00102 | Loss(train) 1.0814 | Acc(train) 0.6228 | Acc(val) 0.6846 |
Epoch 00103 | Loss(train) 1.1082 | Acc(train) 0.6168 | Acc(val) 0.6771 |
Epoch 00104 | Loss(train) 1.1318 | Acc(train) 0.6163 | Acc(val) 0.6831 |
Epoch 00105 | Loss(train) 1.0959 | Acc(train) 0.6278 | Acc(val) 0.7130 |*
Epoch 00106 | Loss(train) 1.0918 | Acc(train) 0.6283 | Acc(val) 0.7384 |*
Epoch 00107 | Loss(train) 1.0780 | Acc(train) 0.6248 | Acc(val) 0.7235 |
Epoch 00108 | Loss(train) 1.0726 | Acc(train) 0.6313 | Acc(val) 0.6831 |
Epoch 00109 | Loss(train) 1.0764 | Acc(train) 0.6263 | Acc(val) 0.6831 |
Epoch 00110 | Loss(train) 1.0695 | Acc(train) 0.6278 | Acc(val) 0.6951 |
Epoch 00111 | Loss(train) 1.0716 | Acc(train) 0.6208 | Acc(val) 0.7175 |
Epoch 00112 | Loss(train) 1.0853 | Acc(train) 0.6134 | Acc(val) 0.7100 |
Epoch 00113 | Loss(train) 1.0714 | Acc(train) 0.6243 | Acc(val) 0.6921 |
Epoch 00114 | Loss(train) 1.0589 | Acc(train) 0.6308 | Acc(val) 0.6846 |
Epoch 00115 | Loss(train) 1.0657 | Acc(train) 0.6163 | Acc(val) 0.6936 |
Epoch 00116 | Loss(train) 1.0878 | Acc(train) 0.6338 | Acc(val) 0.6966 |
Epoch 00117 | Loss(train) 1.0309 | Acc(train) 0.6472 | Acc(val) 0.7040 |
Epoch 00118 | Loss(train) 1.0564 | Acc(train) 0.6358 | Acc(val) 0.6981 |
Epoch 00119 | Loss(train) 1.0838 | Acc(train) 0.6213 | Acc(val) 0.6861 |
Epoch 00120 | Loss(train) 1.0730 | Acc(train) 0.6403 | Acc(val) 0.6861 |
Epoch 00121 | Loss(train) 1.0469 | Acc(train) 0.6428 | Acc(val) 0.7175 |
Epoch 00122 | Loss(train) 1.0480 | Acc(train) 0.6268 | Acc(val) 0.7309 |
Epoch 00123 | Loss(train) 1.0368 | Acc(train) 0.6373 | Acc(val) 0.7250 |
Epoch 00124 | Loss(train) 1.0421 | Acc(train) 0.6457 | Acc(val) 0.7040 |
Epoch 00125 | Loss(train) 1.0660 | Acc(train) 0.6393 | Acc(val) 0.6906 |
Epoch 00126 | Loss(train) 1.0755 | Acc(train) 0.6383 | Acc(val) 0.7070 |
Epoch 00127 | Loss(train) 1.0580 | Acc(train) 0.6432 | Acc(val) 0.7294 |
Epoch 00128 | Loss(train) 1.0192 | Acc(train) 0.6403 | Acc(val) 0.7115 |
Epoch 00129 | Loss(train) 1.0296 | Acc(train) 0.6512 | Acc(val) 0.6966 |
Epoch 00130 | Loss(train) 1.0552 | Acc(train) 0.6467 | Acc(val) 0.6876 |
Epoch 00131 | Loss(train) 1.0363 | Acc(train) 0.6383 | Acc(val) 0.6861 |
Epoch 00132 | Loss(train) 1.0468 | Acc(train) 0.6437 | Acc(val) 0.7100 |
Epoch 00133 | Loss(train) 1.0239 | Acc(train) 0.6537 | Acc(val) 0.7459 |*
Epoch 00134 | Loss(train) 1.0144 | Acc(train) 0.6537 | Acc(val) 0.7459 |
Epoch 00135 | Loss(train) 1.0460 | Acc(train) 0.6418 | Acc(val) 0.7250 |
Epoch 00136 | Loss(train) 1.0345 | Acc(train) 0.6502 | Acc(val) 0.7175 |
Epoch 00137 | Loss(train) 1.0178 | Acc(train) 0.6502 | Acc(val) 0.7220 |
Epoch 00138 | Loss(train) 1.0764 | Acc(train) 0.6437 | Acc(val) 0.7175 |
Epoch 00139 | Loss(train) 1.0129 | Acc(train) 0.6368 | Acc(val) 0.7130 |
Epoch 00140 | Loss(train) 1.0443 | Acc(train) 0.6393 | Acc(val) 0.6996 |
Epoch 00141 | Loss(train) 1.0045 | Acc(train) 0.6607 | Acc(val) 0.7205 |
Epoch 00142 | Loss(train) 1.0873 | Acc(train) 0.6333 | Acc(val) 0.7489 |*
Epoch 00143 | Loss(train) 1.0398 | Acc(train) 0.6437 | Acc(val) 0.7623 |*
Epoch 00144 | Loss(train) 1.0165 | Acc(train) 0.6462 | Acc(val) 0.7728 |*
Epoch 00145 | Loss(train) 0.9976 | Acc(train) 0.6612 | Acc(val) 0.7848 |*
Epoch 00146 | Loss(train) 1.0437 | Acc(train) 0.6378 | Acc(val) 0.7818 |
Epoch 00147 | Loss(train) 1.0626 | Acc(train) 0.6442 | Acc(val) 0.7683 |
Epoch 00148 | Loss(train) 0.9932 | Acc(train) 0.6592 | Acc(val) 0.7758 |
Epoch 00149 | Loss(train) 1.5076 | Acc(train) 0.6009 | Acc(val) 0.7265 |
Epoch 00150 | Loss(train) 1.0515 | Acc(train) 0.6413 | Acc(val) 0.7235 |
Epoch 00151 | Loss(train) 1.0016 | Acc(train) 0.6462 | Acc(val) 0.7280 |
Epoch 00152 | Loss(train) 1.0675 | Acc(train) 0.6333 | Acc(val) 0.7399 |
Epoch 00153 | Loss(train) 1.0128 | Acc(train) 0.6522 | Acc(val) 0.7653 |
Epoch 00154 | Loss(train) 1.0177 | Acc(train) 0.6702 | Acc(val) 0.7773 |
Epoch 00155 | Loss(train) 1.0268 | Acc(train) 0.6517 | Acc(val) 0.7713 |
Epoch 00156 | Loss(train) 1.0197 | Acc(train) 0.6442 | Acc(val) 0.7713 |
Epoch 00157 | Loss(train) 1.0243 | Acc(train) 0.6622 | Acc(val) 0.7698 |
Epoch 00158 | Loss(train) 1.0340 | Acc(train) 0.6577 | Acc(val) 0.7638 |
Epoch 00159 | Loss(train) 0.9997 | Acc(train) 0.6672 | Acc(val) 0.7578 |
Epoch 00160 | Loss(train) 1.0700 | Acc(train) 0.6622 | Acc(val) 0.7683 |
Epoch 00161 | Loss(train) 0.9935 | Acc(train) 0.6672 | Acc(val) 0.7683 |
Epoch 00162 | Loss(train) 0.9994 | Acc(train) 0.6477 | Acc(val) 0.7608 |
Epoch 00163 | Loss(train) 0.9954 | Acc(train) 0.6632 | Acc(val) 0.7623 |
Epoch 00164 | Loss(train) 1.0389 | Acc(train) 0.6657 | Acc(val) 0.7728 |
Epoch 00165 | Loss(train) 0.9858 | Acc(train) 0.6771 | Acc(val) 0.7818 |
Epoch 00166 | Loss(train) 1.0160 | Acc(train) 0.6622 | Acc(val) 0.7862 |*
Epoch 00167 | Loss(train) 0.9875 | Acc(train) 0.6856 | Acc(val) 0.7773 |
Epoch 00168 | Loss(train) 0.9961 | Acc(train) 0.6751 | Acc(val) 0.7758 |
Epoch 00169 | Loss(train) 0.9836 | Acc(train) 0.6582 | Acc(val) 0.7758 |
Epoch 00170 | Loss(train) 0.9569 | Acc(train) 0.6856 | Acc(val) 0.7788 |
Epoch 00171 | Loss(train) 0.9841 | Acc(train) 0.6761 | Acc(val) 0.7743 |
Epoch 00172 | Loss(train) 0.9866 | Acc(train) 0.6662 | Acc(val) 0.7788 |
Epoch 00173 | Loss(train) 0.9865 | Acc(train) 0.6567 | Acc(val) 0.7668 |
Epoch 00174 | Loss(train) 0.9522 | Acc(train) 0.6761 | Acc(val) 0.7653 |
Epoch 00175 | Loss(train) 0.9775 | Acc(train) 0.6667 | Acc(val) 0.7638 |
Epoch 00176 | Loss(train) 0.9799 | Acc(train) 0.6647 | Acc(val) 0.7713 |
Epoch 00177 | Loss(train) 0.9647 | Acc(train) 0.6746 | Acc(val) 0.7758 |
Epoch 00178 | Loss(train) 0.9898 | Acc(train) 0.6776 | Acc(val) 0.7788 |
Epoch 00179 | Loss(train) 0.9679 | Acc(train) 0.6677 | Acc(val) 0.7818 |
Epoch 00180 | Loss(train) 1.0120 | Acc(train) 0.6692 | Acc(val) 0.7848 |
Epoch 00181 | Loss(train) 0.9657 | Acc(train) 0.6751 | Acc(val) 0.7773 |
Epoch 00182 | Loss(train) 1.0035 | Acc(train) 0.6652 | Acc(val) 0.7758 |
Epoch 00183 | Loss(train) 0.9690 | Acc(train) 0.6741 | Acc(val) 0.7743 |
Epoch 00184 | Loss(train) 0.9330 | Acc(train) 0.6821 | Acc(val) 0.7803 |
Epoch 00185 | Loss(train) 0.9971 | Acc(train) 0.6592 | Acc(val) 0.7758 |
Epoch 00186 | Loss(train) 0.9450 | Acc(train) 0.6682 | Acc(val) 0.7698 |
Epoch 00187 | Loss(train) 0.9554 | Acc(train) 0.6587 | Acc(val) 0.7743 |
Epoch 00188 | Loss(train) 0.9617 | Acc(train) 0.6667 | Acc(val) 0.7818 |
Epoch 00189 | Loss(train) 0.9682 | Acc(train) 0.6801 | Acc(val) 0.7833 |
Epoch 00190 | Loss(train) 0.9946 | Acc(train) 0.6597 | Acc(val) 0.7848 |
Epoch 00191 | Loss(train) 0.9704 | Acc(train) 0.6726 | Acc(val) 0.7848 |
Epoch 00192 | Loss(train) 0.9434 | Acc(train) 0.6702 | Acc(val) 0.7758 |
Epoch 00193 | Loss(train) 0.9811 | Acc(train) 0.6672 | Acc(val) 0.7818 |
Epoch 00194 | Loss(train) 0.9695 | Acc(train) 0.6702 | Acc(val) 0.7818 |
Epoch 00195 | Loss(train) 0.9803 | Acc(train) 0.6692 | Acc(val) 0.7922 |*
Epoch 00196 | Loss(train) 0.9801 | Acc(train) 0.6572 | Acc(val) 0.7803 |
Epoch 00197 | Loss(train) 0.9754 | Acc(train) 0.6597 | Acc(val) 0.7728 |
Epoch 00198 | Loss(train) 0.9437 | Acc(train) 0.6931 | Acc(val) 0.7773 |
Epoch 00199 | Loss(train) 0.9476 | Acc(train) 0.6806 | Acc(val) 0.7833 |
Epoch 00200 | Loss(train) 0.9335 | Acc(train) 0.6811 | Acc(val) 0.7758 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'VS', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 64}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 767, 'out_dim': 10}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 128.61 MB
GPU Memory Reserved: 326.00 MB
Exp 1/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.3271 | Acc(train) 0.1231 | Acc(val) 0.3558 |*
Epoch 00002 | Loss(train) 2.4152 | Acc(train) 0.3009 | Acc(val) 0.3558 |
Epoch 00003 | Loss(train) 2.1054 | Acc(train) 0.3244 | Acc(val) 0.3558 |
Epoch 00004 | Loss(train) 2.0758 | Acc(train) 0.3393 | Acc(val) 0.3558 |
Epoch 00005 | Loss(train) 2.0840 | Acc(train) 0.3602 | Acc(val) 0.3558 |
Epoch 00006 | Loss(train) 2.0427 | Acc(train) 0.3687 | Acc(val) 0.3558 |
Epoch 00007 | Loss(train) 1.9962 | Acc(train) 0.3941 | Acc(val) 0.3558 |
Epoch 00008 | Loss(train) 1.9825 | Acc(train) 0.3971 | Acc(val) 0.3558 |
Epoch 00009 | Loss(train) 1.9620 | Acc(train) 0.3916 | Acc(val) 0.3587 |*
Epoch 00010 | Loss(train) 1.9287 | Acc(train) 0.3911 | Acc(val) 0.3572 |
Epoch 00011 | Loss(train) 1.9063 | Acc(train) 0.4081 | Acc(val) 0.3558 |
Epoch 00012 | Loss(train) 1.8836 | Acc(train) 0.4091 | Acc(val) 0.3558 |
Epoch 00013 | Loss(train) 1.8524 | Acc(train) 0.4210 | Acc(val) 0.3602 |*
Epoch 00014 | Loss(train) 1.8384 | Acc(train) 0.4121 | Acc(val) 0.3722 |*
Epoch 00015 | Loss(train) 1.8154 | Acc(train) 0.4325 | Acc(val) 0.3587 |
Epoch 00016 | Loss(train) 1.7753 | Acc(train) 0.4155 | Acc(val) 0.3602 |
Epoch 00017 | Loss(train) 1.7698 | Acc(train) 0.4275 | Acc(val) 0.3961 |*
Epoch 00018 | Loss(train) 1.7392 | Acc(train) 0.4340 | Acc(val) 0.4410 |*
Epoch 00019 | Loss(train) 1.7157 | Acc(train) 0.4350 | Acc(val) 0.4290 |
Epoch 00020 | Loss(train) 1.7072 | Acc(train) 0.4300 | Acc(val) 0.4081 |
Epoch 00021 | Loss(train) 1.6886 | Acc(train) 0.4360 | Acc(val) 0.4111 |
Epoch 00022 | Loss(train) 1.6413 | Acc(train) 0.4385 | Acc(val) 0.4499 |*
Epoch 00023 | Loss(train) 1.6349 | Acc(train) 0.4345 | Acc(val) 0.4948 |*
Epoch 00024 | Loss(train) 1.6119 | Acc(train) 0.4519 | Acc(val) 0.5277 |*
Epoch 00025 | Loss(train) 1.5894 | Acc(train) 0.4509 | Acc(val) 0.5650 |*
Epoch 00026 | Loss(train) 1.6121 | Acc(train) 0.4365 | Acc(val) 0.5456 |
Epoch 00027 | Loss(train) 1.5969 | Acc(train) 0.4449 | Acc(val) 0.5336 |
Epoch 00028 | Loss(train) 1.5822 | Acc(train) 0.4484 | Acc(val) 0.5232 |
Epoch 00029 | Loss(train) 1.5561 | Acc(train) 0.4429 | Acc(val) 0.5321 |
Epoch 00030 | Loss(train) 1.5688 | Acc(train) 0.4454 | Acc(val) 0.5650 |
Epoch 00031 | Loss(train) 1.5160 | Acc(train) 0.4489 | Acc(val) 0.5919 |*
Epoch 00032 | Loss(train) 1.5207 | Acc(train) 0.4594 | Acc(val) 0.6263 |*
Epoch 00033 | Loss(train) 1.5209 | Acc(train) 0.4544 | Acc(val) 0.6114 |
Epoch 00034 | Loss(train) 1.4963 | Acc(train) 0.4499 | Acc(val) 0.5904 |
Epoch 00035 | Loss(train) 1.5044 | Acc(train) 0.4669 | Acc(val) 0.6114 |
Epoch 00036 | Loss(train) 1.4596 | Acc(train) 0.4664 | Acc(val) 0.6263 |
Epoch 00037 | Loss(train) 1.4528 | Acc(train) 0.4918 | Acc(val) 0.6263 |
Epoch 00038 | Loss(train) 1.4466 | Acc(train) 0.4838 | Acc(val) 0.6338 |*
Epoch 00039 | Loss(train) 1.4543 | Acc(train) 0.4913 | Acc(val) 0.6323 |
Epoch 00040 | Loss(train) 1.4075 | Acc(train) 0.5082 | Acc(val) 0.6323 |
Epoch 00041 | Loss(train) 1.4285 | Acc(train) 0.4918 | Acc(val) 0.6428 |*
Epoch 00042 | Loss(train) 1.3756 | Acc(train) 0.5247 | Acc(val) 0.6428 |
Epoch 00043 | Loss(train) 1.3780 | Acc(train) 0.5257 | Acc(val) 0.6323 |
Epoch 00044 | Loss(train) 1.3579 | Acc(train) 0.5306 | Acc(val) 0.6442 |*
Epoch 00045 | Loss(train) 1.3481 | Acc(train) 0.5227 | Acc(val) 0.6487 |*
Epoch 00046 | Loss(train) 1.3590 | Acc(train) 0.5376 | Acc(val) 0.6472 |
Epoch 00047 | Loss(train) 1.3350 | Acc(train) 0.5476 | Acc(val) 0.6383 |
Epoch 00048 | Loss(train) 1.3313 | Acc(train) 0.5301 | Acc(val) 0.6472 |
Epoch 00049 | Loss(train) 1.3016 | Acc(train) 0.5551 | Acc(val) 0.6442 |
Epoch 00050 | Loss(train) 1.3309 | Acc(train) 0.5536 | Acc(val) 0.6368 |
Epoch 00051 | Loss(train) 1.2849 | Acc(train) 0.5695 | Acc(val) 0.6472 |
Epoch 00052 | Loss(train) 1.2808 | Acc(train) 0.5725 | Acc(val) 0.6472 |
Epoch 00053 | Loss(train) 1.2739 | Acc(train) 0.5745 | Acc(val) 0.6472 |
Epoch 00054 | Loss(train) 1.2830 | Acc(train) 0.5610 | Acc(val) 0.6502 |*
Epoch 00055 | Loss(train) 1.2385 | Acc(train) 0.5780 | Acc(val) 0.6517 |*
Epoch 00056 | Loss(train) 1.2535 | Acc(train) 0.5735 | Acc(val) 0.6487 |
Epoch 00057 | Loss(train) 1.2393 | Acc(train) 0.5655 | Acc(val) 0.6487 |
Epoch 00058 | Loss(train) 1.2154 | Acc(train) 0.5864 | Acc(val) 0.6472 |
Epoch 00059 | Loss(train) 1.2185 | Acc(train) 0.5879 | Acc(val) 0.6472 |
Epoch 00060 | Loss(train) 1.2157 | Acc(train) 0.5909 | Acc(val) 0.6517 |
Epoch 00061 | Loss(train) 1.2259 | Acc(train) 0.5909 | Acc(val) 0.6622 |*
Epoch 00062 | Loss(train) 1.2044 | Acc(train) 0.5869 | Acc(val) 0.6936 |*
Epoch 00063 | Loss(train) 1.2069 | Acc(train) 0.5899 | Acc(val) 0.6831 |
Epoch 00064 | Loss(train) 1.1953 | Acc(train) 0.5909 | Acc(val) 0.6891 |
Epoch 00065 | Loss(train) 1.1791 | Acc(train) 0.5969 | Acc(val) 0.6921 |
Epoch 00066 | Loss(train) 1.1705 | Acc(train) 0.5969 | Acc(val) 0.6891 |
Epoch 00067 | Loss(train) 1.1653 | Acc(train) 0.5914 | Acc(val) 0.6607 |
Epoch 00068 | Loss(train) 1.1766 | Acc(train) 0.6054 | Acc(val) 0.6502 |
